"","user","wine","score","type"
"1",65,"Saronsberg Provenance Shiraz 2015",16.1790876969507,"train"
"2",65,"Knorhoek Shiraz/Cabernet Franc/Cabernet Sauvignon 2015",5.06701113872839,"new"
"3",65,"Buitenverwachting Buiten Blanc 2016",3.25799022366263,"new"
"4",65,"Le Bonheur Cabernet Sauvignon 2014 unlabelled",2.40252833769881,"new"
"5",65,"Guardian Peak Cabernet Sauvignon 2016",1.93281215515345,"new"
"6",65,"Haute Cabriere Chardonnay/Pinot Noir 2016",1.8800257506534,"new"
"7",65,"Asara Vineyard Collection Shiraz 2012",1.47177746018954,"new"
"8",65,"Diemersdal Sauvignon Blanc 2017",1.45531474219885,"new"
"9",65,"Le Bonheur Prima 2013 unlabelled",1.44721359549996,"new"
"10",65,"Raka Sauvignon Blanc",1.43281215515345,"new"
"11",65,"Flagstone Dragon Tree Cape Blend 2014",1,"new"
"12",65,"Simonsig Adelberg Cabernet Merlot 2013",0.577350269189626,"new"
"13",182,"Knorhoek Shiraz/Cabernet Franc/Cabernet Sauvignon 2015",35.4761698658465,"train"
"14",182,"Nitida Roxia Sauvignon Blanc 2016",5.6090999461169,"new"
"15",182,"Special Cuvee Pinot Noir 2014 unlabelled (First Sighting)",5.01197229379163,"train"
"16",182,"Raka Sauvignon Blanc",4.77666215693047,"new"
"17",182,"Le Bonheur Cabernet Sauvignon 2014 unlabelled",4.76700539658493,"new"
"18",182,"Paradyskloof Sauvignon Blanc 2016",4.33313045138962,"train"
"19",182,"Raka Spliced 2014",3.85327315764938,"new"
"20",182,"Buitenverwachting Buiten Blanc 2016",3.83855045667319,"new"
"21",182,"Phizante Kraal Sauvignon Blanc 2016",3.40811117493027,"new"
"22",182,"Asara Vineyard Collection Shiraz 2012",3.16114250532718,"new"
"23",182,"Saronsberg Provenance Shiraz 2015",3.14365813516766,"new"
"24",182,"Leopards Leap Merlot 2016",2.61215294924015,"new"
"25",270,"Le Bonheur Prima 2013 unlabelled",38.9480104929304,"train"
"26",270,"Le Bonheur Cabernet Sauvignon 2014 unlabelled",27.8861078819424,"train"
"27",270,"Raka Spliced 2014",21.7446803079321,"train"
"28",270,"Le Bonheur Tricorne 2012 unlabelled",12.8779127205119,"train"
"29",270,"Hoopenburg Bushvine Shiraz 2014",7.90427309248652,"train"
"30",270,"Knorhoek Shiraz/Cabernet Franc/Cabernet Sauvignon 2015",6.97418926869985,"test"
"31",270,"Nitida Roxia Sauvignon Blanc 2016",6.5475439027179,"new"
"32",270,"Asara Vineyard Collection Shiraz 2012",5.26707102414331,"new"
"33",270,"Clos Malverne Shiraz 2014",4.19370191599913,"new"
